text,label,clean_text
Congratulations! You've won a $1000 gift card. Click here to claim.,spam,congratulations youve gift card click claim
"Hi John, just wanted to confirm our meeting for 3PM tomorrow.",ham,hi john wanted confirm meeting pm tomorrow
"Earn money working from home, no experience needed!",spam,earn money working home experience needed
Don’t forget to submit the assignment by tonight.,ham,don’t forget submit assignment tonight
Limited offer: Buy now and get 50% off!,spam,limited offer buy get
"Hey, are you joining the study session later today?",ham,hey joining study session later today
You’ve been selected for a free vacation!,spam,you’ve selected free vacation
Your account statement is available online.,ham,account statement available online
Act now! This deal won't last long!,spam,act deal wont last long
Team meeting postponed to 4PM. Check calendar invite.,ham,team meeting postponed pm check calendar invite
