text,label
Congratulations! You've won a $1000 gift card. Click here to claim.,spam
"Hi John, just wanted to confirm our meeting for 3PM tomorrow.",ham
"Earn money working from home, no experience needed!",spam
Don’t forget to submit the assignment by tonight.,ham
Limited offer: Buy now and get 50% off!,spam
"Hey, are you joining the study session later today?",ham
You’ve been selected for a free vacation!,spam
Your account statement is available online.,ham
Act now! This deal won't last long!,spam
Team meeting postponed to 4PM. Check calendar invite.,ham
